index,birthDate,birthPlace,deathDate,gender
967,,,,unknown
968
969
971,,,,unknown
972
973,,,,female
974
975,+1962-01-01T00:00:00Z,,,male
976,+1694-11-21T00:00:00Z,Paris,+1778-05-30T00:00:00Z,male
977,+1880-05-28T00:00:00Z,,+1959-10-26T00:00:00Z,male
978,+1972-09-15T00:00:00Z,Sapporo,,male
979,+1903-06-25T00:00:00Z,Motihari,+1950-01-21T00:00:00Z,male
980,+1918-00-00T00:00:00Z,Tochigi Prefecture,+1944-00-00T00:00:00Z,male
981,+1862-09-11T00:00:00Z,Greensboro,+1910-06-05T00:00:00Z,male
982,+1881-06-09T00:00:00Z,,+1962-07-15T00:00:00Z,male
983
984,+1849-07-12T00:00:00Z,Bond Head,+1919-12-29T00:00:00Z,male
985,+1881-05-08T00:00:00Z,Königsberg,+1916-01-29T00:00:00Z,female
986
987,+1939-03-20T00:00:00Z,Tokyo,,male
988,+1899-12-16T00:00:00Z,Teddington,+1973-03-26T00:00:00Z,male
990
991
992,+1914-02-28T00:00:00Z,Kyongsong County,+1944-09-27T00:00:00Z,male
993,+1857-11-25T00:00:00Z,London,+1936-03-28T00:00:00Z,male
994,+1846-09-16T00:00:00Z,Maryland,+1888-02-22T00:00:00Z,female
995,+1841-00-00T00:00:00Z,,+1893-00-00T00:00:00Z,male
996,+1846-03-17T00:00:00Z,London,+1901-11-06T00:00:00Z,female
997
998
999
1000
1001,+1846-03-22T00:00:00Z,Chester,+1886-02-12T00:00:00Z,male
1002,+1961-04-04T00:00:00Z,Tokyo,,male
1003
1004
1005
1006,+1986-07-12T00:00:00Z,Hyōgo Prefecture,,male
1007,+1900-06-29T00:00:00Z,2nd arrondissement of Lyon,+1944-07-31T00:00:00Z,male
1008,+1898-05-10T00:00:00Z,Berlin,+1941-09-11T00:00:00Z,male
1009
1010,+1749-05-17T00:00:00Z,Berkeley,+1823-01-26T00:00:00Z,male
1011,+1962-12-19T00:00:00Z,Reykjavík,,male
1012,+1891-04-07T00:00:00Z,10th arrondissement of Paris,+1957-03-17T00:00:00Z,male
1013,+1903-04-18T00:00:00Z,,+1930-02-24T00:00:00Z,male
1014,+1887-02-02T00:00:00Z,,+1949-01-17T00:00:00Z,male
1016
1017,+1896-10-09T00:00:00Z,Kazan,+1958-01-15T00:00:00Z,male
1018,+1968-04-03T00:00:00Z,Nobeoka,,male
1019,+1878-11-17T00:00:00Z,New York City,+1940-09-04T00:00:00Z,male
1021,+1770-02-22T00:00:00Z,Shiozawa,+1842-06-23T00:00:00Z,male
1022,+1953-03-16T00:00:00Z,Manhattan,,male
1023,+1813-03-15T00:00:00Z,York,+1858-06-16T00:00:00Z,male
1024,+1913-07-11T00:00:00Z,Milwaukee,+1966-08-06T00:00:00Z,male
1025
1026,+1817-07-12T00:00:00Z,Wheeler-Minot Farmhouse,+1862-05-06T00:00:00Z,male
1027,+1452-04-15T00:00:00Z,Anchiano,+1519-05-02T00:00:00Z,male
1028
1029,+1928-11-23T00:00:00Z,Hokkaido,+2001-10-11T00:00:00Z,male
1030,+1938-09-21T00:00:00Z,Tokyo,,male
1031
1032
1033,+1865-05-26T00:00:00Z,Brooklyn,+1933-12-16T00:00:00Z,male
1034,+1890-01-09T00:00:00Z,Malé Svatoňovice,+1938-12-25T00:00:00Z,male
1035
1036,+1938-04-06T00:00:00Z,Fukuoka Prefecture,,male
1037
1038,,,,male
1039
1040,+1891-11-25T00:00:00Z,,+1965-12-29T00:00:00Z,male
1042,+1864-03-09T00:00:00Z,,+1940-05-31T00:00:00Z,male
1043
1044
1045,+1868-12-08T00:00:00Z,Vienna,+1955-03-15T00:00:00Z,male
1046
1048,+1904-03-23T00:00:00Z,Altoona,+1964-11-04T00:00:00Z,male
1049,+1867-06-16T00:00:00Z,,+1927-02-06T00:00:00Z,male
1050,+1961-01-01T00:00:00Z,Osaka,,male
1051,+1817-12-13T00:00:00Z,Teddington,+1894-04-09T00:00:00Z,male
1052,+1856-06-19T00:00:00Z,Bloomington,+1915-05-07T00:00:00Z,male
1053
1054
1055,+1799-05-20T00:00:00Z,Tours,+1850-08-18T00:00:00Z,male
1056
1057,,,,unknown
1058,+1711-04-26T00:00:00Z,Edinburgh,+1776-08-25T00:00:00Z,male
1059
1060,+1964-01-01T00:00:00Z,Hiroshima,,male
1061,+1867-06-28T00:00:00Z,Agrigento,+1936-12-10T00:00:00Z,male
1062,+1896-09-24T00:00:00Z,Saint Paul,+1940-12-21T00:00:00Z,male
1063,+1972-06-22T00:00:00Z,Tokyo,,male
1064,+1942-04-00T00:00:00Z,Tokyo,,male
1065
1066,+1871-09-22T00:00:00Z,,+1895-04-12T00:00:00Z,male
1068,+1939-01-01T00:00:00Z,Tokyo,,female
1069
1070,-0427-05-07T00:00:00Z,Athens,-0347-00-00T00:00:00Z,male
1071,+1899-12-09T00:00:00Z,14th arrondissement of Paris,+1937-10-16T00:00:00Z,male
1072,+1829-01-11T00:00:00Z,former 1st arrondissement of Paris,+1915-10-07T00:00:00Z,male
1073,+1874-02-11T00:00:00Z,Maria Magdalena parish,+1953-06-30T00:00:00Z,female
1074,+1899-07-21T00:00:00Z,Oak Park,+1961-07-02T00:00:00Z,male
1075,+1807-04-20T00:00:00Z,Ceva,+1841-04-29T00:00:00Z,male
1076,+1856-05-15T00:00:00Z,Chittenango,+1919-05-06T00:00:00Z,male
1077,+1866-07-28T00:00:00Z,South Kensington,+1943-12-22T00:00:00Z,female
1078
1080
1081
1082,+1583-00-00T00:00:00Z,Mikawa Province,+1644-05-01T00:00:00Z,male
1085,+1881-09-29T00:00:00Z,Lviv,+1973-10-10T00:00:00Z,male
1088,+1882-10-28T00:00:00Z,,+1911-12-01T00:00:00Z,male
1090,+1882-01-18T00:00:00Z,London,+1956-01-31T00:00:00Z,male
1092
1093,+1533-02-28T00:00:00Z,Saint-Michel-de-Montaigne,+1592-09-12T00:00:00Z,male
1094,,,,unknown
1095
1097,+1890-08-20T00:00:00Z,Providence,+1937-03-15T00:00:00Z,male
1098,+1911-06-10T00:00:00Z,London,+1977-11-30T00:00:00Z,male
1099,+1844-03-31T00:00:00Z,Selkirk,+1912-07-20T00:00:00Z,male
1100,+1748-10-13T00:00:00Z,Poughkeepsie,+1828-02-29T00:00:00Z,male
1101,+1483-11-10T00:00:00Z,Eisleben,+1546-02-18T00:00:00Z,male
1102,+1957-12-04T00:00:00Z,Boston,,male
1103,+1814-08-28T00:00:00Z,Dublin,+1873-02-07T00:00:00Z,male
